baiTamaina banAma suparamaina	batman vs superman
maiM vAstava meM isa para raiMDI nyUmaina ke saMgIta kA AnaMda lete haiM, khilaunA kahAnI philmeM, aura nImo / DorI kI khoja.	randy newmans kA music ko enjoy karUMgA , the toy story movies aura finding nemo / dory
mujhe bhI! mujhe lagatA hai ki Taॉya sTorI philmeM merI pasaMdIdA piksara philmeM ho sakatI haiM| kyA Apane sunA hai ki ve isa garmiyoM meM vaॉlTa DijnI varlDa meM Taॉya sTorI laiMDa banA rahe haiM?	maiM bhI ! toy story movies from pixar mere favorite movies haiM.Tereko patA hai kyA vo loga toy story land banA rahe haiM walt disney world meM yaha summer meM .
maiMne yaha sunA hai. yaha bahuta dilacaspa lagatA hai.	hai sunA maiMne , acchA hogA zAyada
maiM zarada Rtu meM WDW jA rahA hU~ to maiM pArka kaise hai dekhane ke lie utsAhita hU~. kyA Apa kabhI kiyA gayA hai? yA DijnIlaiMDa ke lie?	maiM widow jA rahA hai , bahura excitement hai park dekhane kI , to kabhI gayA hai yA disneyland ko ?
maiM WDW meM kucha bAra gayA hU~. hAlAMki kabhI DijnIlaiMDa nahIM gayA. kailiphorniyA mujhase bahuta dUra hai. hama pichale sAla WDW meM zivira para gae the. yaha bahuta acchA thA.	hai widow ko kucha bhara gayA ho , disney land ko nahIM gAyA . california dUra hai mujhase.hama camping karane gae the widow pichale sAla . majA AyA thA .
maiM zarada Rtu meM yahI kara rahA hU~! maiM vAstava meM vahA~ zivira lagAne ke lie utsuka hU~!	vahIM maiM karane vAlA hU~ ye fall meM , rAha dekha rahA hU~ camping karane kI
yaha vAstava meM mahAna thA. hama cAra rAtoM ke lie zivira lagatA hai. yaha pahale dina pAgala kI taraha bAriza huI, lekina yaha abhI bhI majedAra thA.	bahota masta haiM . hamane cAra rAta camping kiyA , pahale dina bahota bAriza girI , but majA AyA .
Apa mAika yA Sulley adhika pasaMda karate haiM?	tujhe mike yA sullI meM se kauna pasaMda hai jyAdA
oha acchA savAla! mujhe lagatA hai ki mujhe mAika adhika pasaMda hai. vaha ajIba taraha se AzAvAdI hai.	acchA savAla hai , mujhe mike jyAdA acchA lagatA hai . vaha alaga hI optimistic hai .
Apa ke bAre meM kyA?	tujhe kyA lagatA hai
mujhe mAika pasaMda hai kyoMki vaha maz2edAra hai| pahalI philma meM usakI kucha sabase acchI paMktiyA~ thIM|	mujhe mike pasaMda hai kyoM ki vo bahota funny hai . usameM kucha behatarIna lines hai movie kI .
vaha bahuta maz2edAra hai!	vaha funny haiM
maiM hamezA sulI ke lie jaॉna guDamaina kI AvAja abhinaya pasaMda kiyA hai, hAlAMki. yaha eka bar3e, fluffy rAkSasa ke lie ekadama sahI hai	mujhe to hamezA goodman kA voice pasaMda haiM , big aura fluffy monster ke lie to perfect haiM
pahalI philma ke aMta meM jaba vaha mAikrophona se bAhara nikalatA hai to mere bacce bahuta jora se haMsate haiM|	first movie kA end to is part meM haiM , jaba vaha microphone meM burps out kiyA to mere kids jora se has rahI thI
maiM sahamata hU~. jaॉna guDamaina sulI ke lie eka mahAna vikalpa thA.	maiM mAnatA hU~ , john goodman ache choice hai sullI kelie
hAhAhA maiM zarta lagAtA hU~!	haha
mujhe Darane vAlI mazIna bahuta pasaMda hai jo unake pAsa prIkvala meM thI jise chAtroM ko pratiyogitA ke lie DarAnA thA| yaha kAphI sApha thA	mujhe scare mazIna pasaMda haiM , vaha prequel meM haiM , jo students ko frighten huve usa contest kheliye . pretty neat haiM
hA~, hAlAMki maiM vAstava meM dhokhA dene ke lie Sulley ke sAtha nirAza thA.	hAM , surley kA cheating se kucha disappoint haiM
maiM bhI thA, yaha merA dila tor3a diyA. maiM royA jaba yaha huA!	maiM bhI , merA dila to TUTa gayA . maiM rone lagI
yaha vAstava meM usake lie mAika ke lie kyA karane ke lie eka krUra bAta thI	yaha to saca meM cruel thing haiM mike kelie
yaha sulI ke lie caritra se thor3A bAhara laga rahA thA, lekina mujhe lagatA hai ki ve donoM ke bIca saMgharSa ke kucha aMtima srota rakhane ke lie kathAnaka cala rahA rakhane ke lie thA.	surley kelie to ye little out character haiM , lekina conflict ke lie to unake pAsa final source jarUra hogA ,
maiM sahamata hU~, yaha zAyada philma kA merA sabase kama pasaMdIdA hissA thA| mujhe lagatA hai ki ve kahAnI ko eka alaga dizA meM le jA sakate the|	maiM mAnatA hU~ , yaha probably mere least favorite part haiM is movie mien .. mujhe lagatA haiM kI ye story kucha different direction meM jA rahA haiM
sulI ke lie mAika ko yaha socane ke lie dhokhA denA ki vaha DarAvanA thA basa itanA dardanAka thA!	sully ko mike ko trick karane ko soca de to vaha Dara gayA , kitane hurtful haiM
mujhe yaha pasaMda hai ki unhoMne apane sapanoM ko pUrA karane ke lie itanI mehanata kI| yaha eka acchA saMdeza hai ki DijnI ne rAjakumArI aura meMDhaka ke sAtha karanA zurU kiyA|	mujhe usa ending bahuta pasaMda haiM , jo apane dream achieve karane ke lie itanA hard se work kiyA .. ache message haiM , disney kA ... disney tho princess and the frog se start kiyA aise message dene
mujhe bhI! mujhe donoM philmoM ke bIca Ama dhAgA pasaMda hai| mujhe lagatA hai ki yaha isa meM behatara niSpAdita kiyA gayA thA, hAlAMki, kyoMki ve vAstava meM rAkSasoM ke bahuta nIce se zurU kiyA, iMca	mujhe bhI ina donoM movies kA common thread pasaMda haiM ... mujhe lagatA ye thor3A better se executed kiye haiM , kyoM ki bottom of monster se start kiyA
aura yaha batAtA hai ki kyoM ve hamezA mUla philma meM anya nerd janitors ke lie acchA kara rahe haiM. ve eka bAra usI sthiti meM the.	aura ina meM explain kiyA ki kaise vaha janitors kA original movies se ache haiM ... same position meM to haiM vo
oha mere bhagavAna!!! mujhe isakA ehasAsa bhI nahIM huA! mujhe philma ko phira se dekhanA hogA| Apa pUrI taraha se sahI haiM!	omg ! mujhe realize hI nahI huvA ! maiM isa movie ko dubArA dekhanA pasaMda karU~gA .. Apa bilkula sahI haiM
yaha baccoM ke lie vAstava meM eka acchA saMdeza dikhAtA hai, hara kisI kA sammAna karane ke lie	isameM kids kelie ache message haiM , jo respectful haiM sabhI kelie
yaha eka mUlyavAna saMdeza hai| sabhI ke sAtha dayAlu aura sammAnajanaka bano| jIvana meM Apako kahIM le jAne ke lie apane kreDeMziyalsa yA pArivArika pratiSThA para bharosA karane kI ummIda na kareM| basa apanI pUrI koziza karane ke lie taiyAra raheM|	in meM , valuable message haiM , sabhI ke sAtha kind aura respectful honA .. apanI credentials aura family reputation ke lie kabhI life meM lIna mata honA .. sirpha prepare se ho
hA~! mujhe pasaMda AyA ki unhoMne sulI ko pahale isa kharAba bacce ke rUpa meM dikhAyA jo aMtataH sIkha gayA ki Apa hamezA apane parivAra kI pratiSThA para bharosA nahIM kara sakate| yaha Apako kevala itanA hI prApta kara sakatA hai	hA~ ! mujhe bhI sully kA spoiled brat pahale pasaMda haiM , jo apanI family reputation ke lie kabhI lena nahIM hotA ..
zAyada usakI kharAba pRSThabhUmi hai ki kyoM vaha pratiyogitA meM dhokhA diyA, kyoMki vaha vAstava meM apane kAryoM ke pariNAmoM ko mahasUsa nahIM kiyA, basa kyA vaha sahI socA thA kiyA	lekina usakA background thor3A spoiled haiM , kyoM ki vaha competition meM chata kI .. lekina unakA action kA consequences nahIM realize havA , basa kyA use right lagA vo kara baiThA
mujhe lagatA hai ki ina dinoM bahuta se baccoM ko usa saMdeza kI jarUrata hai|	I feel Ajakala bahuta se kids ko isa mIsAje kI bahuta jarUrata hai .
Apa vahA~ dhokhAdhar3I ke bAre meM eka acchA biMdu mila gayA hai.	tumhAre pAsa bahuta bar3hiyA point hai cheating ke bAre meM .
aura Apa baccoM ko usa saMdeza kI jarUrata ke bAre meM vahA~ eka acchA biMdu hai!	aura Apake pAsa yaha bar3hiyA point hai isa message kA kids kI jarUratoM ke bAre meM .
mujhe yaha bhI pasaMda hai ki unheM eka sAtha kar3I mehanata karanI par3I, isalie yaha eka saMgharSa kI taraha mahasUsa nahIM huA| kyoMki mAika aura sulI ke pAsa kaॉrporeTa sIr3hI para apanA rAstA banAne ke usa saMgharSa meM eka-dUsare ko sAjhA karane ke lie thA	maiMne yaha bAta like ki koI unako sAtha milake hard work karanA par3A , so aisA feel nahIM AyA ki ye koI jyAdA struggle thA . Because Mike and Sully ko eka dUsare ke sAtha the unakA struggle share karane meM jaba vaha corporate ladder caDha rahe the .
hailo	hello
hAya !	hai
aisA lagatA hai ki hama rAkSasoM vizvavidyAlaya mila gayA hai	looks like hameM monsters University milI hai
ThIka hai	ok
maiMne ise kabhI nahIM dekhA hai	maiMne yaha kabhI na dekhI
maiM bhI nahIM	maiMne bhI nahIM
maiMne pAnI kA AkAra cunA thA	meM SHAPE OF WATER ko PICK kiyA
maiM ghara para akelA thA	maiM HOME ALONEKO
lola	LOL
maiMne kama se kama yaha dekhA hai	aTalasTa maiMne to vo dekhA haiM
yaha philma meM bilI krisTala kI taraha dikhatA hai	mujhe lagatA ki IS MOVIE meM BILLY CRYSTAL haiM
ThIka hai	OK
aisA lagatA hai ki yaha sar3e hue TamATara para ThIka karatA hai mujhe 79% milA	ROTTEN TOMATOES kA SCORE 79 % diyA haiM jo oak haiM kyA
hA~ koI bacce to baccoM kI philmoM ke sAtha mahAna nahIM hai	hA~ KIDS MOVIES meM to koI KIDS achI nahIM karate
yaha bahuta acchA hai	acchA , PREETY GOOD yAra
yaha ThIka hai maiM se jAnakArI kA eka gucchA mila gayA hai hama yaha patA lagA sakate haiM	THATS OK yAra , mujhe to isake bAre meM kAphI INFORMATION mile haiM
yUemaDIbI para bhI 4 sitAre	4 stars , umadAba haiM
AIemaDIbI	imdb
oha jaॉna guDamaina bhI isa meM hai aura eka taraha se Azcaryacakita sTIvana Buscemi isa meM hai	acchA , jaॉna goodman's bhI haiM aura mujhe to surprised kI taraha lagA jaba steven buscemi Aye thI
yaha eka acchA kAsTa hai	good cast haiM yAra
vaha Ama taura para vAstava meM DarAvane bure logoM ko khelatA hai	vaha normally creepy bad guys kI taraha play kara rahe the
hAhA pUrI taraha se	ha ha
aisA lagatA hai ki rAkSasa zikArI bhAIcAre yA sorority khela ke rUpa meM kucha hai DarAvanA khela kahA jAtA hai	monster hunter kI taraha kucha laga rahI thI yAni fraternity yA sorority games ke tAre jo scary games bolate
opsa rAkSasa vizvavidyAlaya maiM rAkSasa zikArI khela rahA hU~ kSamA kareM	oops monsters university , maiM to monster hunter play kiye hoM , sorry
zAyada yaha baccoM ko khuda ko cunautI dene ke lie sikhAne ke lie hai	maybe kIr3e ko teach karanA unakA challenge ho sakatA haiM
oha maiM tumheM kho diyA hai	ops maiM to Apase lose hoya
are, tuma kaise ho?	hai , kaise ho ?
kyA Apa rAkSasa vizvavidyAlaya pasaMda karate haiM?	kyA AAP MONSTERS UNIVERSITY dekhe ?
maiM, maiMne socA ki bilI mAika ke rUpa meM eka acchA kAma kiyA	hA~ , mujhe lagA billI ne MIKE kI taraha ache JOB kiye haiM
hA~ bilI krisTala mahAna hai. ApakA pasaMdIdA caritra kauna hai?	hAM , BILLY CRYSTAL THO GREAT haiM .. ApakA FAVORITE CHARACTER kauna haiM ?
maॉnsTara yU pyArA aura maz2edAra hai aura enImezana, hAlAMki bilkula prerita nahIM hai, meM bahuta sAre raMga haiM|	MIKE yAra ... MONSTER you THO FUNNY aura CUTE haiM , kAphI ANIMATION bhI haiM , jo mujhe INSPIRED nahIM hote lekina usameM kAphI COLOR haiM
mujhe vAstava meM isameM sabhI kaॉmeDI pasaMda AI| aura saMgIta	mujhe COMEDY pasaMda AyA , aura usakA MUSIC bhI
kaॉmeDI maॉnsTarsa iMka kI bhAvanA ke prati saccI hai aura isake svara se mela khAtI hai lekina kabhI bhI purAnI jamIna ko badalane ke lie saMtuSTa nahIM lagatI hai| saMgIta ne sabhI sahI noToM ko mArA mujhe lagatA hai	COMEDY THO TRUE se US SPIRIT kA MONSTERS haiM , kAphI TONE se MATCH kiyA jo kabhI OLD GROUND meM TURN nahIM hotA .. MUSIC THO sahI NOTES haiM ,
maiM sahamata hU~, yaha piksara ke lie eka bahuta hI surakSita zarta thI ki ve ise kaise prastuta karate haiM|	maiM mAnatA hU~ , ye piksAra kA SAFE bITa haiM , jisa taraha vaha PRESENT kiye
suparasTAra abhinetA jo AvAja abhinaya karate haiM ve hamezA paisA kamAne jA rahe haiM, hAlAMki|	Superstar actors kA voice acting karanA is always going to make money , though .
maiM sahamata hUM, isameM kalpanA ko parezAna karane ke lie paryApta sAmagrI hai jaba taka ki suMdaratA kI tatkAla carcA dUra nahIM ho jAtI hai| eka sAdhAraNa prIkvala ke lie, yaha eka acchA pariNAma hai|	maiM agree karatA hUM , isameM kAphI stuff jo cuteness ke immediate buzz ke melt hone ke bAda imagination ko hoMTha kareMgI . mere prequel ke lie yaha acchA result hai .
mujhe isakA pUrA birAdarI pahalU pasaMda AyA, gAla meM bahuta jIbha|	mujhe isakA sArA fraternity aspect acchA lagA , bohata tongue in cheek .
hAM, yaha samagra rUpa se zrRMkhalA para eka tAz2A dRSTikoNa thA aura pAtroM ke lie eka acchI pRSThabhUmi pradAna kI|	hAM , yaha eka as a whole series pe refreshing outlook thA aura characters ke lie nice background provide karatI hai
maiMne socA ki 7 sAla kI umra meM mAika kA dRzya bhI eka acchA kaॉla-baika thA|	mujhe lagA Mike kA 7 years old kA scene bhI acchA call-back thA
maiM sahamata hU~, mujhe pasaMda AyA jaba ve mAika kI pRSThabhUmi kI kahAnI dikhAte haiM ki vaha kyoM eka DarAne vAlA bana gayA| mujhe hamezA Azcarya huA ki usane aisA kyoM kiyA	I agree , mujhe acchA lagA jaba unhoMne Mike kI background story dikhAI ki vaha scarer kyoM bana gayA . maiM hamezA socatA hU~ usane aisA karanA kyoM cUsa kiyA .
mujhe yaha bhI pasaMda hai ki ve mAika aura sulI ke bIca dostI ko kaise vikasita karate haiM	mujhe yaha bhI acchA lagA ki kaise unhoMne Mike aura Sully kI friendship develop hote dikhAyA
hA~ maiM sulI ke rUpa meM zAMta AdamI kI taraha ki kabhI nahIM socA thA	hA~ maiMne kabhI nahIM socA Sully ko isa taraha cool guy
mujhe nahIM patA thA ki sulI ke pAsa anya pAtroM kI tulanA meM itanI dAvA karane vAlI pRSThabhUmi thI| yaha batAtA hai ki kyoM kevala use rora omegA rora meM svIkAra kiyA gayA thA|	maiM nahIM jAnatA Sully kA bAkI characters kI comparison meM itanA pretentious background thA . isI samajha AtA hai sirpha vahI kyoM Roar Omega Roar meM accept huye .
saca hai, aura yaha yaha dikhAne kA eka acchA kAma karatA hai ki donoM pAtra kaise doSapUrNa haiM|	saca , aura yaha yaha dikhAne kA acchA kAma karatI hai ki donoM characters flawed haiM .
maiMne socA ki pUre DarAne vAle kheloM kI sAjiza bhI kAphI acchI thI, ise dilacaspa rakhA|	mere khyAla ke mutAbika tamAma khauphanAka game kA plot kAphI acchA bhI thA , bahuta dilacaspa rakhA
maiM sahamata hU~, mujhe pasaMda hai ki ve unheM sahI banAne kI koziza nahIM kI.	maiM mAnatA hU~ , mujhe acchA lagA ki unhoM ne unako perfect banAne kI koziza nahIM kI
hA~! aura usa khela meM unake lie bhI bahuta kucha dAMva para thA	hA~ , aura unake lie bahuta kucha usa game meM dAva para bhI lagA huA thA
yaha taya karegA ki ve reenerolled kiyA jA sakatA hai yA nahIM. Apa kaise sulI dhokhA diyA ke bAre meM mahasUsa karate haiM?	yaha phaisalA karegA ki kiyA vaha enrolled ho sakate haiM yA nahIM . Apako kaise lagA ki sully ne kaise chata kiyA
maiMne socA ki yaha aparihArya ko derI kara rahA thA aura unheM upalabdhi kI jhUThI bhAvanA de rahA thA|	mere mutAbika yaha anahonI ko sirpha delay kara rahA thA aura unheM accomplishment kI aika jhUThI tasallI de rahA thA
maiM sahamata hUM, mujhe mAika ke lie burA lagA jo socatA thA ki vaha apanI zartoM para saphala huA lekina isake bajAya jItane meM madada kI gaI	maiM mAnatA hU~ , mujhe Mike ke lie burA lagA jo soca rahA thA ki vaha khuda se kAmayAba huA jabaki use jItane meM madada dI gae
maiMne socA ki yaha viDaMbanApUrNa bhI thA kyoMki ve kevala pahalI cunautI se bAhara ho jAte haiM kyoMki eka anya TIma ko dhokhAdhar3I ke lie ayogya ThaharAyA gayA thA|	mere khyAla thA ki yaha ironic bhI hai ka unheM pahale mukAbale meM sirpha isa lie nikAlA gayA ki kI dUsarI team ko cheating karane para disqualify kiyA gayA
hA~ maiM sahamata hU~. yaha unheM vizvavidyAlaya se bhI niSkAsita karane kA kAraNa banA	hA~ jI maiM mAnatA hU~ . isakA khAtmA unheM university se nikalane para hI huA
mujhe aisA lagatA hai ki unhoMne khuda ko bAkI birAdarI ke lie balidAna kiyA hai tAki unheM svIkAra kiyA jA sake|	mujhe lagatA hai ki unhoM ne bAkI tamAma logoM ke accept hone kI vajaha se apanI kurbAnI dI hai
maiM sahamata hU~ aura mujhe lagatA hai ki yaha karane ke lie eka mahAna bAta thI. kama se kama ve abhI bhI rAkSasa, iMka meM kAma para rakhA jA karane meM sakSama the aura scareers banane ke lie apane tarIke se kAma.	maiM mAnatA hUM aura merA khyAla hai ki ika acchA kAma thA karane ko.kAma Aja kAma vaha Monsters , Inc meM hire hone ke kAbila the aura apane Apako scarer banane taka pahuMcA sakate the
hA~, lagatA hai ki yaha dikhAtA hai ki Apa kabhI kabhI zikSA kI jarUrata nahIM hai! hAhA.	hAM , guess yaha dikhAtA hai ki sometimes tumheM education nahIM cAhie ! haha
ThIka hai, kabhI-kabhI basa saMrakSaNa aura kar3I mehanata kI jarUrata hotI hai!	Exactly , kabhI kabhI sirpha preservation aura hardwork hI needed hotA hai !
kama se kama ve CDA ke sAtha bahuta parezAnI meM nahIM milA	kama se kama yaha CDA ke sAtha jyAdA trouble meM nahIM par3e
hA~ maiM hairAna thA jaba Hardscrabble kahA ki ve use Azcarya karane ke lie pahale chAtroM the.	hA~ I was taken aback jaba Hardscrabble ne bolA vo use surprise karane vAlI first students they
maiM sahamata hU~, maiMne socA ki ve bahuta vizeSa nahIM the| sabhI meM yaha eka mahAna philma thI!	I agree , mujhe lagA ye jyAdA special nahIM thA . All in all ye great movie thI !
namaskAra	hai
are, tuma mujhe ghRNita ke bAre meM kyA socate ho? yaha vAstava meM eka acchI philma hai.	Hey , tuma Despicable maiM ke bAre meM kyA socate ho ? yaha really eka bar3hiyA movie hai .
mujhe bhI aisA hI lagatA hai|	mujhe bhI lagatA hai
yaha kAphI maz2edAra hai!	yaha bar3I funny hai
kyA Apane abhI isake bAre meM par3hA hai? yA Apane ise bhI dekhA hai|	kyA tumane sirpha isake bAre meM read kiyA thA ? yA tumane dekhI bhI hai
hA~? sTIva Carell supara maz2edAra hai. mere baccoM ko isa philma pyAra karatA hU~.	Yeah ? Steve Carell bahuta funny hai . mere kids ko yaha pasaMda AI .
hA~ vaha vAstava meM acchI taraha se grU khelatA hai|	yeah usane gurU kA role acche se play kiyA
maiMne ise dekhA hai|	maiMne use dekhA hai
oha, mere pAsa bacce nahIM haiM, lekina mujhe lagatA hai ki philma sabhI umra ke lie acchI hai	Oh , mere pAsa bacI nahIM hai , but mujhe lagatA hai ki movie sabhI ages ke lie achI hai
maiM ise apane dostoM ko salAha detA hU~|	maiMne isase apane friends ko recommend kI hai .
isameM bahuta sAre acche sabaka haiM	isameM bahuta sAre acche lessons hai
yahA~ bhI yahI hai	mujhe bhI
aura enImezana vAstava meM zIrSa stara para hai|	aura animation bahuta acche level kI hai .
hA~ yaha hai, sarala lekina bahuta sarala nahIM hai, aura sirpha paryApta vistRta	hAM , simple but bahuta jyAdA simple nahIM , aura acche se detail kiyA hai
mujhe philma meM sabhI choTe vivaraNa pasaMda haiM, aura kaise grU samaya ke sAtha vikasita hotA hai	mujhe movie kI hara choTI details achi lagI , aura kaise time ke sAtha guru evolves .
philma meM ApakA pasaMdIdA caritra kyA hai?	tumharA kaunasA favourite character hai movie meM ?
mujhe grU bhI pasaMda hai| vaha aba taka ke pAtroM meM sabase majedAra hai|	mujhe guru bhI pasaMda hai . vaha aba taka ke characters meM sabase majedAra hai .
yahA~ bhI| aura yaha rewatching mUlya kA eka bahuta kucha hai	mujhe bhI . aura isakI bahuta jyAdA value hai
hamezA naI cIjeM aura IsTara aMDe DhUMDheM	hamezA naI cIjeM aura easter eggs pAte raho
hA~ maiM zAyada yaha eka darjana bAra dekhA hai.	hAM , maiMne zAyada aise eka dozen times dekhA hai .
yaha philma bhayAnaka hai!	yaha movie awesome ! hai
usa filma kA zIrSaka kyA thA?	Movie kA title kyA hai ?
asalI ispAta	Real steel
oha, isameM kauna hai?	Oh , vaha kauna hai ?
eka ekzana philma kI taraha lagatA hai.	Action movie jesA sound hai .
hyUga jaikamaina	Hugh jackman
maiM hyUga jaikamaina se pyAra karatA hU~!	mujhe Hugh Jackman pasaMda hai
yaha kisa varSa jArI kiyA gayA thA?	kauna se year meM released hogI ?
2011	2011
kyA yaha eka ekzana yA nATaka hai?	yaha action aura drama hai ?
yaha eka ekzana philma hai	jI action movie hai
maiMne socA ki, dilacaspa lagatA hai.	menU achi laga rahI hai
raॉTana TamATara ne kyA skora diyA?	Rotten tomatoes ne kitane ratings dI hai
59%	59 %
yaha kAphI kama hai ... lekina maiM hamezA AlocakoM ke sAtha sahamata nahIM hUM ...	jI bahuta kama hai , meM critics kI bAta se se at nahIM hU~
aisA lagatA hai ki logoM ko yaha pasaMda AyA	loga èse pasaMda kareMge
isa filma kA nirdezana kisane kiyA?	Movie jisa ne nirdeshik kI hai
zaॉna levI	Shawn levy
kucha aura Apa mujhe philma ke bAre meM batA sakate haiM?	mujhe kucha bhI movie ke bAre meM batA sakate ho
yaha caTTAnI kI taraha hai lekina roboToM ke sAtha	jI rocky jaisI hai , laken robots ke sAtha
kyA hyUga jaikamaina eka roboTa hai?	Hugh Jackman eka robot hai ?
yA kyA vaha eka mAnava kI bhUmikA nibhAtA hai?	yaha vaha eka AdamI banA hai ?
Apako lagatA hai ki yaha baccoM ke sAtha dekhane ke lie eka acchI philma hai?	kyA tuma socate ho ki yaha baccoM ke sAtha dekhane kI loI acchI movie hai ?
vaha eka iMsAna hai	vaha AdamI hai
hA~ maiM karatA hU~	yaha maine kara diyA
maiM eka roboTa ke rUpa meM hyUga jaikamaina kI kalpanA nahIM kara sakatA thA ... lol	maiM soca nahIM sakatA ki Hugh Jackman eka robot ... Hahaha
philma meM aura kauna hai?	aura kauna hai isa movie meM
DI akoTA goyo	the akoTA to gayo
mujhe nahIM lagatA ki mujhe patA hai ki yaha kauna hai ...	maiM nahIM socatA ki maiM ise jAnatA hU~
hA~	Yeah
to eka romAMTika tArIkha philma nahIM hai ...	romantic date vAlI film nahIM to kyA
maiM aisA nahIM kahU~gA	nahIM maiM èsA nahIM kahUMgA
maiM sahamata hU~ ki Apa ekzana philmeM pasaMda karate haiM?	MY sahamata hU~ . kyA AAP ACTION MOVIE pasaMda karate ho ?
mujhe kucha ekzana philmeM pasaMda haiM, hA~| kyA Apa karate haiM?	maiM kucha MOVIE pasaMda karatA hU~.Apa kyA pasaMda karate ho ?
hA~ maiM sabase adhika AnaMda lete haiM	MY z2yAda MOVIE pasaMda karatA hU~
jaॉna vika vAstava meM acchA hai	JOHN WICK bahuta acchA hai
sahamata hU~. maiM una donoM ko pasaMda kiyA. Apa?	MY sahamata hU~ . meM donoM pasaMda karatA hU~.Apa ?
eka hI	maiM bhI
kyA Apa eka ko dUsare se adhika pasaMda karate the?	kyA Apa eka dudhArI se jyAdA pasaMda karate ho ?
donoM lagabhaga samAna haiM	donoM eka haiM ke bAre meM hai
kyA Apa agale eka ko dekheMge?	AAP dUsare dekha sakate ho ?
hA~ hA~	ThIka hai
Apako aura kauna sI philmeM pasaMda haiM?	AAP dUsare kaunasA MOVIE pasaMda karate haiM ?
kyA Apako phAsTa eMDa phyUriyasa philmeM pasaMda haiM?	AAP FAST AND FURIOUS MOVIE pasaMda karate haiM ?
kyA tuma abhI bhI vahA~ ho?	AAP udhara hI hai to ?
hailo?	kaise haiM
hailo	HELLO
kyA Apa philma kI jAnakArI dekhate haiM?	AAP MOVIE ke bAre meM jAnakArI dekha
radda karane kA samaya	baMda karane kA samaya A gayA
namaskAra	hai
hAya !	hai
filma kA nAma kyA hai?	movie kA nAma kyA hai
brUsa sarvazaktimAna	Bruce Almighty
yaha philma kisa bAre meM hai?	movie kisa bAre meM hai
philma eka TIvI riporTara ke bAre meM hai jo apane jIvana mArgadarzana meM bhagavAna kI upasthiti ke bAre meM zikAyata karatA hai aura isalie use eka saptAha ke lie apanA kAma karane kA maukA diyA jAtA hai	Movie eka tv reporter ke bAre meM jo usake life guidance meM God kI presence ke bAre meM complain karatA hai aura isalie use yaha job eka week ke lie karane kA chance milatA hai
yaha dilacaspa lagatA hai.	sahI laga rahA hai
yaha eka acchI taraha se likhI gaI kaॉmeDI hai, kyA Apane ise dekhA hai?	yaha eka well written comedy hai , tumane dekhI hai ?
isameM jima kairI, jeniphara enisTana, maॉrgana phrImaina, lisA ena vaॉkara aura philipa bekara haॉla kI eka ऑla-sTAra kAsTa hai|	yaha all star cast of Jim Carrey , Jennifer Aniston , Morgan Freeman , Lisa anna Walker aura Phillip Baker Hall ko feature karatI hai
pUrI bAta nahIM sirpha Tukar3e-Tukar3e.	pUrI nahI just bits and pieces
mujhe jima kairI ke sAtha kaॉmeDIz2a pasaMda haiM	mujhe vaha comedies achI lagatI haiM jisameM jima Carrey ho
maiMne dekhA hai yahAM taka ki sarvazaktimAna yaha eka ke samAna hai?	maiMne Even Almighty dekhI hai kyA vo similar haiM isake
maiM bhI!	me too !
mujhe yakIna nahIM hai ki maiM usa laॉla kA khulAsA karane kI svataMtratA para hU~?	mujhe sure nahIM ki mujhe yaha disclose karane kI liberty hai lol ?
niyamoM ke bAre meM	yahI to rule hai
ThIka hai	ok
lekina maiM Apako philma ke bAre meM thor3A aura batAUMgA	but maiM tumheM movie ke bAre meM thor3A aura batA sakatA hU~
ThIka hai ki mahAna ho jAegA	ok , yaha bahuta acchA hogA
maiM ise dekhane kA irAdA rakhatA hUM lekina hamezA bhUla jAtA hUM	I hamezA ise dekhane kA mean karatI hU~ but hamezA bhUla jAtI hU~
to kairI kA caritra, brUsa nolana, eka riporTara hai| mehanatI, lekina bahuta saphala nahIM hai| usake pAsa bahuta burA bhAgya hai aura apanI sImA taka pahuMca jAtA hai jaba usake sahakarmI ko usa para padonnati milatI hai	So Carrey kA character , Bruce Nola , eka reporter haiM . hardworking hai , but bahuta successful nahIM hai . use bahuta bAda luck rahatA hai para para eka limit cross ho jAtI hai jaba usake ko worker ko usakI pahalI promotion diyA jAtA hai .
phira vaha bhagavAna se apanI zikAyateM zurU karatA hai jo aMta meM usa prastAva ke sAtha javAba detA hai jo use usakI zaktiyAM detA hai	vaha isake bAda God se complain karatA , God usakI bAta para respond karate haiM aura eka option detI hai jisase usake pAsa power A jAtI hai
to yaha kisI aura ke jUte meM calane jaisA hai yaha dekhane ke lie ki unheM kyA sAmanA karanA par3atA hai|	So isakA matalaba ki kisI aura ke shoes pahana kara calo tAki patA lage ki kaise lagatA hai .
"bhagavAna kucha prArthanAoM kA uttara kyoM nahIM detA" ke rUpa meM adhika	jyAdA hone se patA nahIM kyoM bhagavAna ne kucha prathnaon ko unasunanA kara diyA
oha ThIka hai	acchA ThIka hai
brUsa vaha prApta karatA hai sabhI prArthanAoM ke lie hA~ ke sAtha javAba dene ke lie zurU hotA hai, aura ke rUpa meM Apa kalpanA kara sakate haiM ki vahA~ saMgharSa aura kaॉmeDI kA eka bahuta kucha khelane ke lie Ate haiM	bruce milI huI prathnaon ko hAM meM javAba dene lagegA , aura jaise tuma soca sakate ho vahAM para kAphI saMgharSa aura comedy huI
